Configuration,Size,ET,FileInput,CPU_Kernel,GPU_Kernel,Host2GPU,GPU2Host
HDD+GPU,512,0.285598, 0.000638, 0.000000, 0.000968, 0.000015, 0.000011
HDD+CPU,512,0.000060, 0.000030, 0.000022, 0.000000, 0.000000, 0.000000
SSD+GPU,512,0.342406, 0.000146, 0.000000, 0.000543, 0.000012, 0.000213
SSD+CPU,512,0.000047, 0.000018, 0.000020, 0.000000, 0.000000, 0.000000
HDD+GPU,32768,0.290705, 0.000431, 0.000000, 0.000627, 0.000025, 0.000157
HDD+CPU,32768,0.003510, 0.000182, 0.003311, 0.000000, 0.000000, 0.000000
SSD+GPU,32768,0.281930, 0.000351, 0.000000, 0.000686, 0.000023, 0.000154
SSD+CPU,32768,0.003461, 0.000107, 0.003339, 0.000000, 0.000000, 0.000000
HDD+GPU,262144,0.369399, 0.001184, 0.000000, 0.008966, 0.000088, 0.006142
HDD+CPU,262144,0.022587, 0.000640, 0.021925, 0.000000, 0.000000, 0.000000
SSD+GPU,262144,0.337879, 0.001765, 0.000000, 0.000743, 0.000081, 0.000609
SSD+CPU,262144,0.020053, 0.000414, 0.019618, 0.000000, 0.000000, 0.000000
